網走　流氷,北海道網走市南３条東４丁目５−１,北緯44度に位置する網走市では、１月中旬から流氷が見られる。そして、「砕氷船おーろろ」から眺める風景はまさに圧巻！中国・ロシア間を流れるアムール川の水が氷り、流れ着いている事を考えると、日本に居ながらにして地球を感じることができたのではないでしょうか。(網走流氷観光砕氷船おーろろサイトより),1
オシンコシンの滝,北海道斜里郡斜里町ウトロ西　オシンコシンの滝,オシンコシンとは、アイヌ語の「エゾ松が群生するところ」が転じた言葉である。日本の滝100選にも選ばれるこの滝は、途中で流れが二つに分かれることから「双美の滝」とも呼ばれる。特に、冬に滝が凍ってできる流氷は迫力満点！(知床斜里町観光協会より ),1
神の子池,北海道斜里郡清里町清泉　神の子池,摩周湖(神の湖)の伏流水からできていると言い伝えられていることから、この名で呼ばれる。水が澄んでいるため池の底まで見ることができます。コバルトブルーに輝く水とそこに腐らず横たわり続ける倒木は、どこか神秘的です。(きよさと観光協会より),1
カムイワッカ湯の滝,北海道斜里郡斜里町遠音別村　カムイワッカ湯の滝,活火山である知床硫黄山から湧き出る温泉が、川に流れ込む事でできているため「湯の滝」と呼ばれる。その泉質は強い酸性であり、肌の弱い方は注意が必要。(知床斜里町観光協会より ),1
キムアネップ岬,北海道常呂郡佐呂間町幌岩　キムネアップ岬,サロマ湖の東南に伸びるこの岬は、原生植物の宝庫である。秋に色づいたサンゴ草が一面に広がる景観は、真っ赤な絨毯のよう。また、ここから眺めるサロマ湖に沈みゆく夕日は日本屈指！(佐呂間町役場サイトより),1
朱円周堤墓群,北海道斜里郡斜里町朱円西　朱円周堤墓,北海道独自の墓制であり、縄文時代後期の集団墓地で知られる。道東での周堤墓の発見は、当時この場所が初めてであり、研究の起点となった。この墓で出土した品は、斜里町立知床博物館で見ることができる。,1
知床五湖,北海道斜里郡斜里町遠音別村　知床五湖,五つの湖からなる知床五湖は、原生林に囲まれており、数多くの植物・動物を目にすることができる。また、高架木道と地上遊歩道の二つのルートによって異なる景色を楽しむことができる。(知床五湖フィールドハウスサイトより),1
ポンホロ沼,北海道斜里郡斜里町遠音別村　ポンホロ沼,知床源山から流れる雪解け水によってできる沼で、5月〜7月下旬と限られた時期にしか現れないため「幻の沼」と言われる。観光地化されていないために、ガイドなしではたどり着けないとされる。(LINEトラベルjpの記事より),1
宗谷岬,北海道稚内市宗谷岬3,日本最北端の場所として知られるこの場所には、記念碑が建てられている。これは、北を示すN極と平和と協調を表し、その場からは海の向こうにサハリンの島影をうかがうことができる。(稚内観光協会より),2
宗谷丘陵,北海道稚内市宗谷村宗谷,この氷河期時代に形成された周氷河地形は、北海道遺産として認定されている。57基もの風力発電施設やホタテの貝殻によって作られた「最北の白い道」は空の青と自然の緑を一層際立たせます！(稚内観光協会より),2
千望台,北海道留萌市見晴町７丁目　千望台,留萌港を中心に広がる市街地を一望することができる唯一の場所である。北の水平線には国定公園の天売島・焼尻島の島影、条件が整えば利尻富士のシルエットが浮び、南には暑寒別国定公園の秀峰が望める。(留萌観光協会より),2
黄金岬,北海道留萌市大町2丁目　黄金岬,ニシンの見張り台でもあったこの岬は、夕陽に映し出されたニシンがきらきらと黄金色に輝きながら岸をめがけて押し寄せたことが名の由来。柱を積重ねたような奇岩が幾つも並ぶ独特な景観を持ち、沖に夕日が沈むその眺めは「日本一の落陽」とされる。(留萌観光協会より),2
雲海テラス　トマム,北海道勇払郡占冠村中トマム　星野リゾート,星野リゾート「トマム」のテラスから眺めることができる。従業員のアイデアから始まったこのサービスは今でも進化を遂げ、新たな展望デッキからはより身を投げ出す形で雲海の景色を堪能することができる。(星野リゾートのサイトより),2
青い池,北海道上川郡美瑛町白金　青い池,池が青いのは、白金温泉から流れ出るアルミニウム含有の地下水が含まれている水に、光が反射しているため。現在は、多くの人が訪れる観光スポットになっている。(北海道観光振興機構より),2
阿寒湖,北海道釧路市阿寒町阿寒湖温泉,阿寒摩周国立公園内のカルデラ湖であり、東岸に雄阿寒岳がそびえる景色は雄大で、四季ごとに美しい表情を見せてくれる。特別天然記念物である「阿寒湖のマリモ」が生息することでも有名。(釧路・阿寒湖観光公式サイトより),1
阿寒湖　アイヌコタン,北海道釧路市阿寒町阿寒湖温泉4-7-19,「コタン」とはアイヌ語で村や集落を意味しており、中でも阿寒湖のコタンは最も大きい。アイヌ文化を体験しながら学ぶことができ、北海道の歴史を知るうえで重要な経験になること間違いなし！(釧路・阿寒湖観光公式サイトより),1
オンネトー湖,北海道足寄群足寄町茂足寄　オンネトー湖,オンネトーとは、アイヌ語で「年老いた沼」「大きな沼」を表す。阿寒摩周国立公園にあるこの湖は、人里離れた場所にあることから北海道三大秘湖の一つとされており、展望デッキから眺める景色は壮大！(ぐる旅サイトより),1
釧路湿原国立公園,北海道阿寒郡鶴居村温根内　釧路湿原国立公園,釧路川とその支流を抱く日本最大の釧路湿原及び湿原を取り囲む丘陵地からなる国立公園である。かつては不毛の大地として扱われたこの地が、自然保護の観点から見直され、今ではタンチョウをはじめとする多くの動植物の住処となっている。(環境省サイトより),1
幣舞橋,北海道釧路市北大通 幣舞橋,釧路川に架かる橋であり、北海道三大名橋の一つである。子柱の上には、「春夏秋冬」をそれぞれシンボライズするブロンズ像を配し、日本初の橋上に彫刻を持つ橋として注目された。現在は、夕日の撮影スポットで有名。(釧路・阿寒湖観光公式サイトより),1
摩周湖,北海道川上郡弟子屈町　摩周湖,流れ入る・出る川もないために、汚染されることがなく、世界第2位の透明度を誇る。また、この湖は霧が立ち込めることでも有名であり、その様子を展望台から眺めるとより神秘的。(釧路・阿寒湖観光公式サイトより),1
明治公園,北海道根室市牧の内81 明治公園,明治8年に国が創設したこの公園は、現在牧場の跡地を利用して建てられたレンガ造りのサイロで有名。サイロとは、冬場に農作物や飼料を保存しておく貯蔵庫のことである。その景観は、異国情緒あふれている。(根室振興局より),1
タウシュベツ川橋梁,北海道河東群上士幌町ぬかびら源泉郷　タウシュベツ川橋梁,旧国鉄時代に造られたコンクリート製の橋である。湖面に建てられているため、増水期には水の下に潜って無くなり、冬場は橋の下まで近ずくことができる。近い将来、崩壊も危惧されており一度見ておいた方が良いかも。(上士幌町役場より),1
帯広競馬場,北海道帯広市西13条南9丁目,ここは、世界で唯一ばんえい競馬を通年で開催している競馬場である。ばんえい競馬とは、重い鉄そりをばん馬に引かせ競うレースで、その光景は迫力満点！お金をかけなくとも十分楽しむことができ、帯広に行ったならばぜひ訪れたいスポット。(帯広競馬場サイトより),1
北海道庁旧本庁舎,北海道札幌市中央区北３条西６丁目,「赤れんが庁舎」の愛称でも知られるこの場所では、現在の庁舎が出来るまでの約80年に渡って道政が担われた。建物はアメリカ風ネオ・バロック様式の建築であり、内部は無料で一般公開されている。(札幌観光協会より),3
支笏湖,北海道千歳市　支笏湖,札幌から1時間の距離で、北海道の壮大な自然に出会うことが出来る点でアクセス抜群！水深が国内で2番目に深いため対流がおきやすく、冬場でも凍らない。遊覧船に乗れば、澄んだ水中を見渡すこともできる。(ぐる旅サイトより),3
すすきの交差点,北海道札幌市中央区南４条西３丁目３−３,日本有数の歓楽街であり、ニッカウヰスキーの看板がシンボルとも言える。多くの居酒屋等の飲食店、宿泊施設が立ち並ぶ。多くの映画のロケ地でも知られる。(wikipediaより),3
札幌市時計台,北海道札幌市中央区北１条西２丁目,北海道大学の前身である札幌農学校の演武場として、初代教頭のクラーク博士の構想に基づき1878年に建設された。開拓期のアメリカで流行した風船構造と呼ばれる木造建築様式が特徴。ビル群が立ち並ぶ街の中に位置しており、初めて訪れた方は驚くだろう。(札幌観光協会より),3
真駒内滝野霊園,北海道札幌市南区滝野２−３,北海道最大級の公園霊園であり、シンボルとも言える「頭大仏」と「ラベンダーの丘」は建築家安藤忠夫氏による設計。霊園内には、ストーンヘンジやモアイ像などがあり不思議な空間を体験できそう。(真駒内滝野霊園公式サイトより),3
藻岩山展望台　夜景,札幌市中央区伏見5丁目3番7号,日本新三大夜景に認定された札幌市を見渡すことができる。藻岩山は、「いつもそこに上がって見張りをするところ」という意のアイヌ語名を持つ、標高531メートルの山である。札幌を一望できる、360度の大パノラマに感動すること間違いなし！(札幌もいわ山ロープウェイサイトより),3
モエレ沼公園,北海道札幌市東区モエレ沼公園１−１−１,この公園は、札幌市の市街地を公園や緑地の帯で包み込もうという「環状グリーンベルト構想」によって計画された総合公園である。ガラスのピラッミッドや海の噴水は自然とアートが融合した美しい景観を生み出している。(モエレ沼公園サイトより),3
トトロ峠,北海道深川市音江町国見　戸外炉峠,深川市の高台である戸外炉峠の名にちなんで「となりのトトロ」に出てくるネコバスが置かれている場所です。これは、廃バスにペインティングが施されたものである。近くの戸外炉峠展望台からは、深川市街地と田園風景を見渡すことができる。(北海道ファンマガジンより),3
神威岬,北海道積丹郡積丹町神岬町　神威岬,積丹半島の北西部から日本海に沿って伸びている岬。歩道を進むと岬の先まで行くことができ、源義経を慕うアイヌの娘が身投げしたことでできたとされる「神威岩」を見ることができる。その後船の転覆が続くことを受け、かつては女人禁制の地とされていたとか。(じゃらんnetより),3
五稜郭,北海道函館市五稜郭町４４,五稜郭タワーから眺めると、星形の五角形をしていることが分かる。徳川幕府の命を受けた蘭学者・武田斐三郎が設計し、1864年に完成された、国内初の西洋式城郭とされる。戊辰戦争最後の戦場として歴史の教科書では学んだことだろう。(北海道観光振興機構より),4
函館山展望台　夜景,北海道函館市函館山,100万ドルの夜景とも呼ばれる函館市街を見下ろすことができるのが函館山展望台である。夜景が綺麗なのは、市街の両端が函館湾・津軽海峡に囲まれていることで、より市街の明るさが際立つためである。(MAPPLE TRAVEL GUIDEより),4
かもめ島,北海道檜山郡江差町鴎島,かつてこの島は弁天島と呼ばれ、ニシン漁や北前船交易の舞台だった。今は、檜山道立自然公園の特別区域に指定され、江差のシンボルとして親しまれている。瓶小岩や馬岩など伝説のあるスポットも多い。(江差町役場サイトより),4
旧檜山爾志郡役所,北海道檜山郡江差町中歌町１１２,北海道庁の出先機関である郡役所と警察署の業務を執り行なう建物として、1887年に建てられた。その後様々な用途で使用され、現在は郷土資料館として利用されている。白の緑のコントラストで綺麗な外観をしている。(餌町郷土資料館サイトより),4
洞爺湖,北海道虻田郡洞爺湖町洞爺湖,東西約11km、南北約9kmのほぼ円形のカルデラ湖であり、湖の中央には島(中島)が浮かぶ。湖周辺は温泉街で北海道有数の観光地となっている。(wikipediaより),4
室蘭　工場夜景ほか,北海道室蘭市祝津町４丁目,室蘭は三方向を海に囲まれており、また北海道でも有数の工業都市であることから、近年工場夜景に話題が集まっている。工場の他にも、測量山のライトアップや白鳥大橋などの夜景もビューポイントである。(室蘭観光協会サイトより),4
地球岬,北海道室蘭市母恋南町４丁目　地球岬,100メートル前後の断崖絶壁が連なり、快晴の日には展望台から太平洋を一望できる国内でも有数の景勝地である。「北海道の自然100選」で第1位などその大パノラマは折り紙つき。(室蘭観光協会サイトより),4
小樽運河,北海道小樽市港町５,船で荷揚げを効率的に行うため、接岸できる距離を長くする目的で生まれた。現在は、その幅の半分が道路となり、散策道等に整備されている。夜にはガス灯が点り、よりフォトジェニックなスポットとなる。(小樽市公式サイトより),3
